figure,panel,measure,source,drug,dataset,units,output,statistics_panel,raw_data,unit,status,note
Figure 3,a,survival trajectory,working/figures/Figure 3/A - survival/SurvivalData.xlsx,,,percent,,,,culture tracked over time,retain; export source values,
Supplementary Figure 4,a,survival trajectory,working/figures/Supplemental Figure 4 - Pb/A - Survival/SurvivalData.xlsx,,,percent,,,,culture tracked over time,retain; export source values,
Supplementary Figure 3,a,resistance trajectory,working/figures/Supplemental Figure 3 - CefR/A - ResistanceEvo/pcr_evolution.xlsx,,,ug/mL,,,,culture tracked over time,retain; export source values,
Figure 2,f,mutation frequency,working/figures/Figure 2/F-H heatmaps/05-PA.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Figure 2,g,mutation frequency,working/figures/Figure 2/F-H heatmaps/07-PL.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Figure 2,h,mutation frequency,working/figures/Figure 2/F-H heatmaps/06-PC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Figure 4,a,mutation frequency,working/figures/Figure 4/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Figure 4,b,mutation frequency,working/figures/Figure 4/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Figure 4,c,mutation frequency,working/figures/Figure 4/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 3,e,mutation frequency,working/figures/Supplemental Figure 3 - CefR/E - genetics/08-PCr.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 4,f,mutation frequency,working/figures/Supplemental Figure 4 - Pb/F - Mutations/10-ATEC12.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 5,a,mutation frequency,working/figures/Supplemental Figure 5 - Extended heatmaps/A/05-PA.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,Supp 5 b/c corrected to notebook identities
Supplementary Figure 5,b,mutation frequency,working/figures/Supplemental Figure 5 - Extended heatmaps/B/07-PL.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,Supp 5 b/c corrected to notebook identities
Supplementary Figure 5,c,mutation frequency,working/figures/Supplemental Figure 5 - Extended heatmaps/C/06-PC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,Supp 5 b/c corrected to notebook identities
Supplementary Figure 6,d,mutation frequency,working/figures/Supplemental Figure 6/B - heatmap/05-Punt.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 8,a,mutation frequency,working/figures/Supplemental Figure 8 - extended traced alleles/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 8,b,mutation frequency,working/figures/Supplemental Figure 8 - extended traced alleles/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 8,c,mutation frequency,working/figures/Supplemental Figure 8 - extended traced alleles/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 8,d,mutation frequency,working/figures/Supplemental Figure 8 - extended traced alleles/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 8,e,mutation frequency,working/figures/Supplemental Figure 8 - extended traced alleles/02-PLAC.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Supplementary Figure 9,all,mutation frequency,working/figures/Supplemental Figure 9 - big heatmap/13-bigheatmap.ipynb,,,fraction,,,,population sequencing sample,table regenerated from mutation calls; assembly retains image,
Figure 1,abc,schematic,working/figures/Figure 1/A-C/Figure 1 A-C.pptx,,,not applicable,,,,not applicable,retain schematic,
Figure 4,d,schematic,working/figures/Figure 4/Figure4D-Cartoon.pptx,,,not applicable,,,,not applicable,retain schematic,
Supplementary Figure 1,all,schematic,working/figures/Supplemental Figure 1/cartoon - survival mechanisms.pptx,,,not applicable,,,,not applicable,retain schematic,
Figure 2,a,representative dose-response curve,working/figures/Figure 2/A-D - MIC/B-D/241011_Adam_mic_PAPLPC.ipynb,,,OD and ug/mL,,,,dose-response series,"recovered PA5 levofloxacin, original notebook cell 29",
Figure 6,all,single-cell RNA analysis,working/figures/Figure 6 -scRNA,,,,,,,cell; sample provenance to document,existing Rosenthal analysis; source-data dependency,
Supplementary Figure 12,all,single-cell RNA analysis,working/figures/Figure 6 -scRNA,,,,,,,cell; sample provenance to document,existing Rosenthal analysis; source-data dependency,
Supplementary Figure 13,all,single-cell RNA analysis,working/figures/Figure 6 -scRNA,,,,,,,cell; sample provenance to document,existing Rosenthal analysis; source-data dependency,
Supplementary Table 1,all,table,data/supplementary_tables.json,,,,,,,,table extracted in Source Data workbook,
Supplementary Table 2,all,table,data/supplementary_tables.json,,,,,,,,table extracted in Source Data workbook,
Supplementary Table 3,all,table,data/supplementary_tables.json,,,,,,,,table extracted in Source Data workbook,
Supplementary Table 4,all,table,data/supplementary_tables.json,,,,,,,,Rosenthal source-table dependency,
